avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
132.5,3.2,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,0,0,1,0,1,5.0,data_scientist,mid,0,0
108.0,4.0,5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Company - Public,CA,0,1,0,1,0,0,38.0,data_engineer,mid,1,0
80.5,4.6,501 to 1000 employees,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),Company - Private,IN,0,0,0,0,0,0,83.0,data_scientist,mid,0,0
107.5,2.8,201 to 500 employees,Health Care Services & Hospitals,Health Care,Unknown,Company - Private,MD,0,1,0,0,0,0,20.0,data_scientist,mid,0,0
95.0,4.7,51 to 200 employees,Consulting,Business Services,$25 to $50 million (USD),Company - Private,MN,0,0,0,1,1,0,24.0,data_engineer,mid,1,0
119.5,3.0,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Unknown,Nonprofit Organization,CA,0,1,0,1,0,0,23.0,data_scientist,mid,1,1
134.0,3.2,1001 to 5000 employees,Advertising & Marketing,Business Services,$1 to $2 billion (USD),Company - Private,NC,0,0,0,1,1,0,20.0,data_engineer,senior,1,0
100.5,4.4,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,MA,0,1,0,0,0,1,21.0,data_scientist,mid,1,1
107.5,3.5,1001 to 5000 employees,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),Company - Public,OH,0,1,0,0,0,0,142.0,data_scientist,mid,0,1
122.0,4.0,51 to 200 employees,Internet,Information Technology,Unknown,Company - Private,DC,0,1,0,1,1,0,5.0,data_engineer,mid,1,0
92.5,4.3,1001 to 5000 employees,Real Estate,Real Estate,$2 to $5 billion (USD),Company - Public,IL,0,1,0,1,0,1,27.0,data_engineer,mid,1,0
62.0,2.3,501 to 1000 employees,Research & Development,Business Services,$100 to $500 million (USD),Company - Private,MD,0,0,0,0,0,1,34.0,data_analyst,mid,1,0
39.5,4.0,51 to 200 employees,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),Unknown,AL,0,0,0,0,0,0,20.0,data_scientist,mid,0,0
107.5,3.6,1001 to 5000 employees,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),Company - Private,LOS ANGELES,0,0,0,0,0,1,54.0,data_scientist,mid,0,1
40.5,3.8,501 to 1000 employees,Staffing & Outsourcing,Business Services,Unknown,Company - Private,MO,0,1,0,0,1,1,3.0,leadership,mid,1,1
